 item_code | total_spent 
 BBEVYSB   |   813060.90
 I7Y3SB3   |   812441.10
 L960K7Y   |   812002.00
 5ZPG0XJ   |   811025.28
 OCPJ2C5   |   810341.84
 DPX4XK9   |   809821.32
 UA3K2GV   |   809427.36
 QLU9UUQ   |   809374.44
 R242R86   |   807993.60
 UW3LXEQ   |   807911.16
 IVFZ69M   |   806501.20
 U7ER9KK   |   805904.19
 IO9OX77   |   804976.38
 RU0S6P5   |   802500.27
 2KCHQ3S   |   802310.76
 KGCYPXR   |   800418.72
 2FW5KO9   |   799702.92
 E8ABCBZ   |   798643.28
 7CQSELQ   |   797529.60
 TH7NQ8P   |   795924.48
 2498ZHI   |   795577.86
 SRI547G   |   794929.85
 EINEW28   |   794640.42
 13XP3P5   |   793868.04
 GD0DY8L   |   793642.40
 MJWBM67   |   790749.96
 0X2JFOQ   |   790307.28
 9E1HX8D   |   789279.40
 OG7YH2O   |   789191.72
 0THLSP0   |   786258.20
 0DJLB3V   |   784965.68
 TZ84OU0   |   784448.18
 51X2IZ6   |   783301.49
 667RZUR   |   783153.97
 4GRDGH5   |   782270.94
 OG5KHWP   |   782077.52
 9WCG2TJ   |   780895.08
 HVZF3C7   |   780793.20
 IFC8YCF   |   779406.03
 PUQQKXQ   |   778678.68
 NQ45OFQ   |   778611.90
 O5DL6NJ   |   778492.62
 VYLRRVW   |   778051.44
 Q6CH35L   |   778004.16
 FRKUBTZ   |   777322.11
 A15BR20   |   777225.43
 CAHOXNJ   |   775342.88
 11S01D8   |   774957.40
 FFBB2AZ   |   774715.59
 QFLDFN8   |   774360.14
 DPEOA51   |   774156.16
 MWH3GGG   |   773154.88
 GBJ3T0I   |   773145.20
 LDXH53E   |   772451.60
 S8474KN   |   772405.79
 TM4QRU6   |   770024.22
 HPH6WPZ   |   769517.58
 DEMH796   |   769197.00
 MVTU7M1   |   769191.28
 Y32G06S   |   768984.32
 NKYOQP2   |   767574.92
 3FP41F9   |   766998.75
 6LINQEL   |   766763.40
 ZJ6KRGG   |   766486.50
 NX03KKF   |   766462.30
 0JDUAHF   |   765964.82
 9GGE8NZ   |   765110.67
 C3E68N8   |   764896.92
 7VH0VKE   |   764165.08
 U152QH4   |   762621.08
 COYCEY9   |   762038.13
 9AMYFP4   |   761098.08
 FUA575R   |   760551.48
 FAYFTE0   |   759812.90
 QOJPMKP   |   759249.08
 E12WY94   |   758066.56
 NI9SGMY   |   758058.58
 ZA5MYBG   |   757861.98
 UEQJF4N   |   757575.60
 2B3E8YP   |   756336.40
 JG4S7IT   |   756105.60
 NI4MBLN   |   755785.20
 LID6IQV   |   755754.72
 1SYSIR5   |   754640.46
 FVSVZYE   |   754103.42
 25POQ2A   |   754005.34
 039Q7G9   |   750836.19
 49DELPD   |   750553.76
 IHE59PR   |   750458.24
 6D311GS   |   748950.36
 1ZVDX3C   |   748780.10
 0UTB4HA   |   748614.96
 5RQ7OP3   |   747252.51
 MX6ICEM   |   747189.74
 4118GPJ   |   746542.08
 B4L4ZCN   |   746165.64
 7K1CQCR   |   745714.47
 XTV3WR7   |   745265.73
 Q8DE7CV   |   745240.50
 IIJKYAE   |   744593.52
 J6AFCBS   |   744520.92
 BQW99W0   |   743201.07
 QZEHY4X   |   743105.92
 9RSZ23C   |   742177.80
 WX9ZQWQ   |   741878.13
 JV8ZTED   |   741595.91
 3ECHGA2   |   740722.86
 70HR8SS   |   740675.80
 4HDKBT4   |   739648.00
 OW9T7B4   |   738710.28
 4FKIDHQ   |   738219.56
 BSM9O5U   |   738206.13
 EWHIBU9   |   737786.66
 6OOXR51   |   737756.60
 J3RG77W   |   737733.90
 0NCDY6E   |   737473.15
 5X4FVGD   |   737159.91
 1NN6OE8   |   737024.20
 IP1NC1T   |   737013.41
 LCX1NGL   |   736469.78
 9H6GUI5   |   735989.20
 N90NP3V   |   735055.72
 9V91G9D   |   734586.20
 9A3SIFH   |   733760.36
 K70V2V8   |   732807.00
 S4L3QSA   |   732527.28
 THRD9OY   |   732385.08
 WT406ZZ   |   732139.80
 CYVZFJN   |   731818.24
 USFKLT6   |   731632.53
 79VRO6P   |   730951.52
 LCHN5J8   |   730708.92
 YVYBVE7   |   728825.02
 UTRZXAV   |   728764.63
 5TGEEJA   |   728647.29
 DSNVQST   |   728515.85
 JAZLW3X   |   728386.83
 CYCM8H6   |   728165.71
 QGTP7T9   |   728000.90
 UXHM5UI   |   727865.03
 TNLZIPO   |   727817.75
 QE3NTIC   |   727294.08
 ZBSZJLI   |   725843.30
 RQD9D70   |   725479.59
 4VZGX7G   |   725479.28
 Q6JSN2M   |   724701.88
 YVCIZCZ   |   724372.97
 A95T1LZ   |   724044.15
 KSFZS5D   |   723707.18
 3U1288U   |   723643.02
 KXEM3VQ   |   720830.22
 VSFSKQK   |   720436.23
 GZRM8X9   |   719716.62
 YXV9WL4   |   719491.05
 73ITUAK   |   719391.64
 57OJTAG   |   718523.85
 51TJ4AL   |   718376.20
 1YA1ER0   |   716598.64
 E8RTYMA   |   716510.61
 840YN2V   |   715672.72
 8TC89JH   |   715299.61
 1NX586N   |   715133.01
 ZXZ5UR5   |   714970.04
 OYRK80C   |   713457.04
 DQINZ3L   |   713033.52
 WT3UM21   |   713029.06
 DZ54OW5   |   712816.92
 YI3U722   |   712208.49
 K1T4W7B   |   711843.30
 U6PT9TS   |   710328.92
 QVOOFDK   |   710246.08
 1KY28EV   |   708669.36
 P1KSJTH   |   706883.60
 GAXCYN0   |   706822.50
 1IOL90I   |   706101.46
 KNI2AKX   |   706096.26
 WBVSMXH   |   705905.97
 I7FIXCO   |   705872.88
 4YDZKVB   |   705612.40
 S0EDU4B   |   705463.80
 L9C3ADE   |   703997.28
 7DXIM19   |   703506.38
 L9BT7A1   |   703196.88
 WTBRMAZ   |   702194.40
 81RYKDY   |   701115.16
 EL7HMM2   |   701092.92
 4VWD58I   |   700315.59
 6I1XNE2   |   700172.82
 U2NLHFI   |   699837.60
 ECZX7W6   |   698528.76
 13MV4VO   |   698492.26
 P9PDLAS   |   697406.67
 BLNHXMF   |   697272.24
 C2NJ4D6   |   697059.04
 ECJ15QA   |   696454.20
 Z0T4SB3   |   696390.24
 QU9QPCN   |   696286.08
 RC1S7UT   |   695474.46
 25X4YMO   |   694475.57
 G87FD57   |   694065.12
 XOXJT7G   |   693462.00
 L2IDD30   |   693222.72
 F5CD5HB   |   692820.48
 I05MFY1   |   691644.15
 IE2OF1D   |   691575.07
 X2N3F6U   |   691134.66
 16OXSS3   |   691119.00
 3AOHW1G   |   690783.34
 11N4ER1   |   690652.08
 CTFPZNL   |   690413.44
 KJCMBZL   |   690290.48
 O8XN3N7   |   689867.82
 ZR7XGPM   |   688175.22
 Q3BOY7W   |   687892.00
 8FCSZDB   |   687071.09
 Z2C6NH3   |   686969.92
 DL3O31A   |   686956.38
 H92UL3Z   |   686653.80
 LLIN3U5   |   686571.65
 JJT71BD   |   685919.76
 MHYDST4   |   685874.31
 ZK9W8FL   |   685614.70
 GZEBSET   |   683919.54
 X5WBBNV   |   683728.92
 9MAIP8E   |   683451.60
 Y0V5N5L   |   683410.50
 BSV89V1   |   682938.52
 33S7695   |   682625.28
 WJNF4RH   |   682461.67
 XJ7HK50   |   682012.53
 5FGZ1C2   |   681986.97
 LKDET0E   |   681972.15
 5962VAR   |   681862.88
 REMQTE5   |   681201.54
 GP8VKAL   |   680907.60
 ROZB441   |   680085.64
 K4Y2428   |   679462.35
 EI4P9FA   |   678872.38
 TS4PXWR   |   678658.32
 W5XS68Q   |   678589.38
 KNI1RRN   |   678497.93
 ZILA411   |   678345.90
 MXFTB37   |   678072.72
 T1LQNEK   |   677407.84
 9XPN2H5   |   673950.72
 BKYREDF   |   673726.90
 Q5DBXK5   |   673663.96
 ZB9S1TJ   |   673417.92
 N8OR3PP   |   673141.86
 Y1GFSSI   |   672708.99
 U5FMLX8   |   671038.50
 SASXYVM   |   670744.68
 IY0IUDS   |   669800.00
 FRDYMCH   |   669551.04
 2MHKXG5   |   668439.92
 MNTQC4X   |   668081.16
 26UL38P   |   668062.20
 M0BAZUK   |   667847.96
 25IYJHI   |   667763.28
 3GH3VJK   |   667322.84
 WMYA8TC   |   667083.87
 ET3CYLF   |   666827.98
 8YYOROV   |   666626.40
 WHYRTZ7   |   665876.89
 ERFK9BW   |   665676.96
 03WU4UD   |   665126.80
 ZUMCVUX   |   664891.92
 02NQESM   |   664537.04
 SFC2SZ4   |   664309.24
 3Q0ENAR   |   664004.94
 QI2P4X9   |   663630.48
 1RDHKBB   |   663519.42
 DZENZJW   |   662991.16
 982G7X8   |   662337.00
 F7I1W94   |   662127.21
 6OW8A79   |   662112.12
 J7UW9R1   |   661867.80
 8TZJ5XC   |   660629.45
 FK819YY   |   660566.16
 MLP1VBZ   |   660082.23
 8ORUGO7   |   659894.95
 F5NZJPA   |   659449.46
 C6HA1ZN   |   659212.53
 MPCPRZV   |   658925.46
 CS53Q9S   |   658733.01
 P7EJZYK   |   658421.76
 9ZSB5LH   |   657401.22
 NUOS5UU   |   657388.26
 73LCHME   |   657362.44
 0IEJ7CG   |   656615.88
 R4BIO9W   |   656470.98
 YWYZGXX   |   656313.35
 U88Y9ET   |   656157.39
 VVCAW1B   |   656121.12
 RAOOCKE   |   656013.42
 FS3TPDU   |   655301.86
 B89EG5U   |   655079.88
 YJ4MQ7T   |   654585.34
 PE1AQQF   |   653059.07
 8IISMXY   |   652913.58
 C3NSCTT   |   652827.40
 7SARUYY   |   652417.44
 WPDEZ27   |   651887.16
 EYZLADT   |   651612.15
 GVB8G3I   |   650924.82
 1D61LVH   |   650248.42
 RXZ9ILN   |   650141.68
 XT1M4R2   |   649792.99
 MT14RU3   |   649625.34
 S2YPD1B   |   649364.04
 Q4WSZGQ   |   649301.40
 6884VT4   |   649122.24
 N5IOSXW   |   648803.04
 LOYG0JM   |   648595.26
 P5MCJ23   |   648361.92
 W2ESX0L   |   648106.96
 T3700PS   |   647488.05
 ET7ZZQ7   |   647200.89
 9X6J4TW   |   647137.20
 OQ15AIQ   |   646884.75
 1PVKH1C   |   646155.76
 Y97XKT3   |   645638.50
 JASIS6T   |   645431.52
 6NKBVTN   |   645388.20
 MLUNC6K   |   644962.50
 0BWYZ2K   |   644595.51
 8LTC46F   |   644495.88
 J7I3TSF   |   644115.24
 P759G2A   |   644061.10
 FNAWTPU   |   644054.62
 RF8YH8P   |   643705.82
 OSU9LY8   |   643288.03
 SITMBB0   |   642608.96
 JJOKTI5   |   642403.08
 DTT6OL2   |   641638.92
 UAWHI1R   |   641452.16
 8NF1A3U   |   640963.75
 OP3TW0N   |   640925.20
 K3X6ZZ0   |   639656.82
 HSKHKI3   |   639172.04
 TJXHSOW   |   638983.80
 IF7ITN8   |   638481.58
 TMNG7S4   |   637795.62
 D4FOFJE   |   637592.12
 N9O0WEB   |   637411.50
 B9E532C   |   637198.08
 6KYX91S   |   636619.30
 983P1J8   |   636401.64
 EIT6N0W   |   636011.98
 1AA34D0   |   635367.94
 JWNOBWJ   |   635324.52
 AUXHC01   |   635260.93
 GRQVAH6   |   635064.90
 HC2Y06V   |   634873.91
 JU7XP7K   |   634863.20
 FHA4VV0   |   634582.56
 GF0HO50   |   633881.70
 JLPYZA1   |   633654.60
 PS2TDBS   |   633501.11
 HI4R1A5   |   632643.20
 G9OF6VQ   |   632642.66
 VPR6PG7   |   632382.03
 REM6ROY   |   630662.76
 3LGG37X   |   630353.50
 4TQEEZB   |   630122.49
 ASG3BPI   |   629885.61
 28QJ32Z   |   629840.64
 65QAABU   |   629580.63
 4XQUDQG   |   629393.05
 I30XM1H   |   629375.34
 PV3LHBE   |   629337.76
 YSZN5K6   |   628823.34
 5QTD70G   |   628788.99
 M7AFIKF   |   627990.00
 PJ7PIRQ   |   627856.80
 LLP6NBK   |   627064.20
 WWX3VPS   |   626967.04
 4JCA61T   |   626832.92
 DJSPTRL   |   626804.75
 BCEGD9C   |   626701.35
 ASJ1ERG   |   625644.00
 MJA16YQ   |   625536.96
 T8JQ9WP   |   625185.00
 RCJ4ZAJ   |   624926.40
 BMVY4NK   |   624816.54
 AZTQTOO   |   624715.08
 4ZSSL76   |   624261.12
 4T8H3HS   |   623792.25
 1KMLGVL   |   623625.45
 EKERLX0   |   623535.84
 ZJQTHP8   |   623453.55
 YTJLLCM   |   623237.76
 4U2N8AV   |   623203.56
 1PISAP3   |   623164.80
 6F2UYX6   |   623064.04
 ICCU9EI   |   622925.80
 ZZ1035M   |   622885.73
 EQ8ST5X   |   622877.28
 B7TW0UD   |   622849.50
 1RU8P8G   |   621623.70
 MLDM6MQ   |   621387.50
 7ID083D   |   621180.05
 YBX4EE6   |   620922.04
 RUA90XS   |   620148.18
 P076LBV   |   619967.25
 X0KW3AR   |   619143.47
 0ZL4R4Z   |   619074.72
 G99G2Q6   |   618987.60
 2SOANY2   |   618073.31
 UJAQ0IH   |   618007.60
 ZYWK0EJ   |   617999.01
 QG9AVC6   |   617979.67
 PVLP7BG   |   616527.30
 8BRTTFP   |   615451.33
 TLR3F9Q   |   615151.81
 56QG392   |   615021.44
 OZV5285   |   614984.49
 SCT0PXW   |   614960.64
 VKJQF84   |   614556.90
 27PZW8I   |   614418.00
 U517UMZ   |   613485.90
 4UC2DPM   |   613233.75
 G308ONI   |   612846.78
 5HD6T3J   |   612678.88
 C8ZF4HZ   |   612591.89
 0UH63JR   |   612240.45
 GMDNSEO   |   612150.00
 1I1PRHU   |   611932.94
 P7X7I9Q   |   611828.79
 OD9S3LJ   |   611639.10
 O6J3V97   |   611056.50
 OZFHWQT   |   610877.70
 ODAS5P8   |   610771.86
 E0BZ2L8   |   610720.40
 HQOQR49   |   610470.00
 J09EZ19   |   610344.66
 69C7NN8   |   610283.80
 LKZT8Q3   |   610206.03
 FZHI2DM   |   609719.36
 QAUAFH2   |   609578.66
 MVQHPEN   |   609220.56
 XC175VZ   |   607769.04
 ERA8FTR   |   607528.60
 SMXIZMD   |   607098.22
 K5BGWJA   |   606553.20
 TM6MR54   |   606331.60
 ZR0RP5Z   |   605939.10
 YRHZ7KV   |   605582.94
 JT2RHC1   |   605272.21
 JFXK2ET   |   603589.44
 NM0XIPL   |   603438.28
 O5XY7LB   |   603382.71
 YVGFLY0   |   602698.32
 RE148Z2   |   602528.00
 EJAYWPW   |   602086.42
 VW34VMC   |   601641.04
 LGF46JM   |   601357.68
 TFEZLUP   |   600937.32
 KCWC4NS   |   600705.76
 HQ180YG   |   600399.96
 PJQUKY5   |   599797.04
 U47L4OM   |   599524.50
 WNGGMN0   |   599438.70
 S44V33L   |   598934.26
 1R2YYSB   |   598911.76
 29X0OVK   |   598723.60
 U8LVYSO   |   598568.40
 AEFRPKS   |   598114.60
 B0AJXH1   |   597046.40
 T4HR284   |   596864.88
 628V461   |   596352.81
 IZ4HUMO   |   595592.94
 7SB2MN3   |   595378.56
 V8PUPZ0   |   595309.85
 II5TFT4   |   595106.61
 PMF14T5   |   594998.12
 G5UQ5DM   |   594758.56
 Y6GPBJE   |   593544.38
 46WBD5Z   |   593116.20
 5DC0AFJ   |   592849.80
 ME5SQUU   |   592600.97
 PBERQ2D   |   591955.14
 L04JDEO   |   591593.88
 BTKPBBV   |   591509.10
 8KFJNB9   |   591500.49
 7HDP0HU   |   591476.16
 7IJO62M   |   590651.36
 6L1ILN6   |   590636.40
 3SD1GYD   |   589903.65
 PDJKA5D   |   589536.36
 AS1TDZE   |   589441.16
 Z798QI6   |   588468.87
 C2BDRM0   |   587857.23
 847OC1R   |   587358.40
 BCF9BOM   |   586899.06
 S6HQM34   |   586866.06
 0XSW69G   |   586373.28
 VOHRJRT   |   585737.89
 NU5PJD3   |   584785.65
 JTB8CT2   |   584586.33
 R52JP9D   |   584178.20
 TA77AY5   |   584011.40
 5EXSG9K   |   583734.15
 22QLCEA   |   583570.80
 VN8JHR6   |   583424.00
 6HC6D1W   |   583230.10
 CZ1AR5Y   |   582711.36
 KHJFE2V   |   582408.86
 8PYLRVN   |   581519.47
 KEDC993   |   581519.36
 ECSDGXS   |   580803.54
 TXH02DH   |   580743.46
 39D4KKB   |   580414.89
 SZ3UA26   |   579894.00
 S9AAXL2   |   579498.84
 CD3UTBK   |   579208.30
 ALINWR8   |   579202.53
 4D6Q31I   |   579059.25
 BJY79S1   |   578818.80
 AHP0A1Q   |   578750.00
 Q7JH1ZE   |   578727.45
 G2BL37I   |   577998.96
 JR247IY   |   577812.46
 61VI67Z   |   577691.10
 UQCDZW3   |   577516.55
 RGLSYG5   |   577300.79
 J4H0SG9   |   577239.02
 QA2BCN7   |   576953.08
 JYZ6JTN   |   576464.62
 1HNZZMJ   |   576143.65
 5Y6RGSU   |   576078.75
 OJNG3N0   |   575976.75
 0KDP99R   |   575331.60
 KT9WARE   |   575224.20
 9OMY92Q   |   575172.75
 HLG2XCJ   |   574730.61
 J1UB4WJ   |   574472.80
 6E1LKEK   |   574433.74
 IVH57M5   |   574321.02
 R4ICYAK   |   573232.04
 93GXPCU   |   573123.20
 ZNUDV8I   |   572970.89
 VUP2HJ0   |   572715.78
 NY60C6M   |   572471.90
 65S9CF0   |   572401.41
 MMNA1N9   |   572290.38
 MQEGNS7   |   572077.88
 HJDU1CD   |   571774.60
 Q5PE2WG   |   571347.00
 8X54S8H   |   571055.10
 ZR9UMC7   |   570774.26
 TXSL92I   |   570643.58
 V8CKKZJ   |   570142.35
 YY58UEV   |   570094.29
 5UP8YES   |   569720.58
 OQ5H1H6   |   569309.19
 9VVEBW0   |   569269.40
 919GN1D   |   569243.61
 FKAYOU6   |   569137.92
 ZUIIN7Y   |   569137.80
 NYNK3CL   |   568986.64
 KBPQTUB   |   568975.00
 IJHW2EA   |   568913.40
 4GT5QMV   |   568758.54
 KVAQBA6   |   568726.30
 85IA7M3   |   568621.04
 37XLXXG   |   568578.15
 J1VXY4R   |   568573.32
 43EG7V6   |   568537.38
 WRXPMTW   |   568184.80
 0VCHLR9   |   568152.90
 NNLN4L0   |   567977.28
 HFMCLSW   |   567558.16
 V0U54J3   |   567243.24
 8LHM0D1   |   567220.86
 4J01BH8   |   567180.68
 0T7WLUD   |   566561.66
 Q6HQSAT   |   565254.90
 5L0H1SB   |   565035.48
 Y0JWLLK   |   564894.44
 SVSCD78   |   564844.13
 7KRO3AN   |   564714.00
 DINK8HI   |   564460.56
 1T76LQB   |   564438.09
 SBOZULV   |   563918.30
 6ZLDSZE   |   563519.10
 8DT3M2X   |   563376.33
 DVWWDQ4   |   563269.70
 ZYG3X6Z   |   562122.90
 ZI371M0   |   561854.16
 XWDA1UI   |   561590.75
 6DHMOIO   |   561232.53
 MZWJ8VY   |   561171.25
 FOH1JL9   |   560972.55
 HUY7VZO   |   560772.08
 07AY1YQ   |   560751.36
 ZQALYXI   |   560512.26
 TD1IVIC   |   560446.92
 HEA1YD9   |   560140.50
 6TRCVCS   |   560088.64
 B4H5A34   |   559438.28
 N8Q7K5R   |   559015.08
 DK1JJIC   |   558755.82
 LUGBY83   |   558592.44
 MZJFOYT   |   558444.04
 21ALJPZ   |   556564.54
 6YNUBA3   |   556380.98
 846GYOX   |   556289.04
 VBIB526   |   555720.60
 PEKENWT   |   555423.32
 8K8YIQY   |   555086.70
 52L0V25   |   555011.60
 HPCLFFX   |   554139.62
 JPJ9AN3   |   553666.20
 Y3CJFFZ   |   553547.28
 WXRJL9E   |   553248.18
 2SWVFZ7   |   553213.30
 5GCYJ7F   |   552777.28
 AN3D85L   |   552548.62
 R07I5TA   |   552356.04
 QE7FXTS   |   551666.89
 1AMEKTS   |   551659.68
 1EVLK0S   |   550122.30
 Q8KRDAG   |   549987.18
 0HLJPYA   |   549901.58
 10X599J   |   549328.23
 E0KSDFH   |   549256.32
 28FE4N3   |   549252.00
 RHUSZBX   |   549077.25
 PYYC3Q9   |   548418.00
 L7IU25K   |   547897.68
 C5KTYEY   |   547859.13
 BZ9844U   |   547812.75
 RDQD252   |   547748.64
 2XTLGKX   |   547596.00
 U11HPNA   |   547060.60
 I20QO4H   |   546756.54
 W2A96E2   |   546740.80
 EFHL2A6   |   545927.52
 SXCM33V   |   545865.81
 7WAFQ0H   |   545806.35
 7YML8ZJ   |   544750.38
 E3WL0QU   |   544405.05
 Y4JNBSW   |   544402.80
 65QYG0O   |   543871.49
 OA3XLUR   |   543828.42
 ZWH5FOP   |   543543.48
 I8MDXS9   |   542891.16
 ESRIVZN   |   542866.96
 PT9L7IE   |   542862.60
 PJNM066   |   542720.76
 W3V62UB   |   542669.26
 MV16ZCG   |   542321.68
 MNAXC7V   |   542144.40
 8JOYX9W   |   542050.48
 QVV4SOP   |   542043.78
 YTX3CZL   |   542018.15
 5Y29YXI   |   541840.00
 K4N6S0W   |   541504.18
 6F54RKO   |   540813.91
 ONWZFOC   |   540764.56
 JH7GQCY   |   540682.26
 T1QLIOS   |   540288.00
 E6I68X7   |   540207.80
 2M5FE3H   |   539403.84
 N2DI7TT   |   539200.80
 OPIRN1G   |   538406.44
 2IQTJVB   |   538308.18
 6ET7PEC   |   538300.92
 M0ALH75   |   538199.61
 ZMULLVZ   |   537585.21
 FOIZNIL   |   537509.91
 5WXZ957   |   537155.27
 Z1CBS0J   |   536783.92
 SQQ1FN0   |   536700.78
 BBYNS0O   |   536602.75
 40J58SD   |   536561.19
 NCN1X44   |   536458.54
 GGDCHX8   |   536336.08
 5LTBLOL   |   535956.12
 YFF8NBQ   |   535906.04
 SEYR8WH   |   535896.00
 33HKU07   |   535855.50
 IC473A6   |   535782.60
 L9SW0YN   |   535375.05
 51IPC83   |   535295.20
 AFPS6OI   |   535280.48
 OAX48RZ   |   534735.30
 6UQDBK8   |   534728.75
 7NR3ODB   |   534654.07
 INXIVGT   |   534648.22
 ULC455K   |   534500.91
 YARUU50   |   534056.16
 BIT71C9   |   534015.56
 9ZT79UJ   |   533983.38
 MAIV2S4   |   533292.00
 YZSMRQP   |   533025.36
 5C74BMZ   |   532620.36
 7XJ80U7   |   532530.39
 DAKLSFQ   |   532471.88
 HVMJ0ZB   |   532379.12
 1TMBCDB   |   532035.30
 RCXCMM8   |   531277.10
 C6TB57K   |   531160.00
 KWQR56M   |   530853.80
 89A730D   |   530682.34
 QS2FTJB   |   530384.08
 JE0XPQ7   |   530235.52
 3LOOTTD   |   530052.27
 RXQT41R   |   529951.67
 TSVZWIS   |   529743.11
 2RP35UE   |   529440.51
 QH7LGX6   |   529200.00
 Y6D9GW6   |   528700.00
 1STJHTA   |   528498.60
 V23KRJS   |   528263.10
 YLWB8K6   |   528262.08
 V7AECS2   |   528101.49
 22O7M56   |   527238.90
 DURXSBZ   |   526926.44
 TQS7YE8   |   526914.06
 IFY6WFX   |   526636.05
 50WZ0N1   |   526547.63
 6VPFED8   |   526298.88
 B9R8BHW   |   525775.25
 IH8SE5F   |   525418.38
 UPBD8A0   |   525361.39
 F0B03XM   |   525113.68
 2I9MLQ4   |   524139.48
 BPE4WKN   |   524093.57
 U7XN7UU   |   523803.72
 MG91QP1   |   523541.72
 7LFLROA   |   523028.80
 3SGB513   |   521398.25
 DCOCQ8I   |   521227.17
 DJUF1X0   |   520852.12
 ZXXT8E4   |   520615.50
 FCK8XNO   |   520533.76
 T68RNJY   |   520125.76
 71RCUEI   |   520056.32
 6W5KE4B   |   519901.70
 RO9KNJT   |   519639.93
 PALS290   |   519612.69
 CP3WGQH   |   519554.76
 DI9FZKH   |   519142.62
 RUSIRHU   |   518937.20
 Q5EA3SW   |   518895.68
 XCIMYUX   |   518543.82
 IS3D1I8   |   518432.56
 S73DDDW   |   518369.46
 FY7GDHU   |   517704.73
 OXRI8XB   |   517701.78
 NVLW3KC   |   517546.64
 TPVR0TS   |   517377.60
 65NVOO8   |   517304.49
 SOH85K4   |   516557.37
 H1Q4AHB   |   515913.30
 GQSCSZ3   |   515882.26
 PG6CX6R   |   515554.55
 X6H439V   |   515490.95
 UQVD02X   |   515150.24
 N6O9K5K   |   515089.52
 1S74VI4   |   514538.75
 1AQ0YSH   |   513910.38
 EOR7BMR   |   513261.54
 5MP6UUM   |   512924.88
 81LJJ8C   |   512677.36
 DSY9UJO   |   512668.50
 D2S3Z79   |   512350.10
 X5KOFHW   |   512341.96
 G06XIX4   |   512335.04
 NNWHWV5   |   511830.96
 ZWQWNIG   |   511537.26
 VUMIJSN   |   511204.25
 NBPKIEU   |   511017.92
